"Age Group","Borough","2010","2020","Change in Percent - 2010-2020"
"Total","New York City","8,242,624","8,550,971","3.74%"
"Total","   Bronx","1,385,108","1,446,788","4.45%"
"Total","   Brooklyn","2,552,911","2,648,452","3.74%"
"Total","   Manhattan","1,585,873","1,638,281","3.3%"
"Total","   Queens","2,250,002","2,330,295","3.57%"
"Total","   Staten Island","468,730","487,155","3.93%"
"School-Age (5 to17) ","New York City","1,260,400","1,282,814","1.78%"
"School-Age (5 to17) ","   Bronx","265,052","259,013","-2.28%"
"School-Age (5 to17) ","   Brooklyn","424,704","441,049","3.85%"
"School-Age (5 to17) ","   Manhattan","157,856","162,931","3.21%"
"School-Age (5 to17) ","   Queens","331,926","341,062","2.75%"
"School-Age (5 to17) ","   Staten Island","80,862","78,759","-2.6%"
"65 and over","New York City","1,002,208","1,177,215","17.46%"
"65 and over","   Bronx","145,882","171,856","17.8%"
"65 and over","   Brooklyn","294,610","351,609","19.35%"
"65 and over","   Manhattan","214,153","250,806","17.12%"
"65 and over","   Queens","288,219","325,300","12.87%"
"65 and over","   Staten Island","59,344","77,644","30.84%"
