Zip Code,Population
11368,"105,716"
11208,"105,428"
11385,"101,704"
11373,"98,403"
10467,"96,421"
11226,"95,144"
11219,"94,196"
10314,"93,915"
11207,"93,198"
10025,"93,065"
11206,"93,020"
11221,"91,588"
11220,"90,652"
11214,"89,397"
11212,"89,020"
11236,"88,051"
10456,"87,533"
11230,"86,978"
11234,"83,187"
11233,"81,822"
11377,"81,690"
11355,"80,801"
11204,"79,800"
10457,"79,543"
11235,"78,558"
11229,"78,377"
11223,"78,093"
10029,"77,447"
10002,"76,873"
11375,"76,839"
10462,"76,320"
10453,"76,282"
10452,"75,682"
10468,"75,557"
10458,"74,898"
11203,"74,817"
11218,"72,042"
10977,"71,571"
10466,"71,116"
11209,"71,004"
10701,"70,676"
11201,"70,674"
11215,"70,441"
10463,"69,470"
10023,"69,455"
11691,"69,359"
11706,"68,976"
11213,"68,846"
14850,"68,610"
10469,"68,521"
11434,"68,263"
10950,"68,136"
11746,"65,747"
11211,"65,314"
11372,"64,756"
10472,"64,011"
10027,"63,885"
10312,"63,469"
10024,"63,115"
11432,"62,892"
10031,"61,058"
11550,"60,960"
11216,"60,685"
10009,"60,209"
10460,"59,396"
10473,"58,855"
11238,"58,345"
11225,"58,158"
10128,"57,976"
11210,"57,915"
10306,"57,428"
11435,"56,826"
10032,"55,610"
14221,"55,255"
12550,"55,152"
10033,"54,838"
11758,"54,375"
14580,"54,180"
10940,"53,611"
10003,"53,560"
12180,"53,479"
11354,"53,028"
10016,"52,971"
10461,"52,012"
11205,"51,676"
10451,"50,942"
11224,"50,822"
14094,"50,153"
11420,"49,415"
10028,"49,077"
10011,"48,277"
10459,"48,270"
10952,"48,019"
11249,"47,728"
11590,"47,599"
11419,"47,441"
11374,"46,989"
11413,"45,965"
10304,"45,658"
10465,"45,404"
11237,"45,334"
11003,"45,174"
12065,"45,116"
11772,"45,023"
10019,"44,942"
11520,"44,910"
10455,"44,801"
14075,"44,520"
11757,"44,413"
14120,"44,241"
12601,"44,164"
11743,"43,490"
11217,"43,490"
11357,"43,346"
11580,"43,092"
13760,"42,896"
11222,"42,853"
10801,"42,754"
14450,"42,750"
11756,"42,665"
10475,"42,578"
14215,"42,524"
11365,"42,322"
12603,"42,304"
11228,"42,241"
11101,"42,219"
11040,"41,988"
11801,"41,585"
13440,"41,555"
10305,"41,270"
14150,"41,260"
14224,"41,219"
10301,"41,052"
11106,"40,930"
11367,"40,923"
10573,"40,786"
11704,"40,706"
11421,"40,612"
14609,"40,274"
10583,"40,207"
10040,"40,096"
12866,"40,057"
10021,"39,868"
11412,"39,828"
10454,"39,570"
11722,"39,033"
10550,"38,972"
13501,"38,931"
10705,"38,887"
10035,"38,862"
11561,"38,708"
14624,"38,626"
14701,"38,461"
11231,"38,276"
11779,"38,206"
11105,"37,936"
11433,"37,884"
10034,"37,758"
11358,"37,665"
13021,"37,247"
10026,"37,123"
13601,"36,839"
11554,"36,821"
11379,"36,773"
13126,"36,495"
11378,"36,392"
12590,"35,712"
11510,"35,701"
14086,"35,635"
11418,"35,481"
11364,"35,276"
11103,"35,163"
14612,"35,152"
12401,"35,136"
11369,"35,133"
13027,"35,088"
12020,"34,937"
10309,"34,885"
11710,"34,834"
11566,"34,741"
11787,"34,499"
10022,"34,049"
13502,"34,037"
10562,"33,793"
11422,"33,757"
14225,"33,620"
12309,"33,246"
14534,"33,230"
11901,"33,091"
11050,"32,794"
10039,"32,492"
14621,"32,381"
11793,"32,349"
11735,"32,028"
10704,"31,921"
10956,"31,898"
14127,"31,543"
12901,"31,447"
11414,"31,308"
10036,"31,036"
10065,"30,808"
12203,"30,771"
10010,"30,702"
11417,"30,578"
10308,"30,568"
10001,"30,511"
11572,"30,436"
11370,"30,267"
11361,"30,127"
11731,"29,999"
11763,"29,973"
11803,"29,713"
11701,"29,509"
12303,"29,360"
10030,"29,297"
11720,"29,292"
14626,"29,273"
10014,"29,230"
14304,"29,208"
14226,"29,159"
11725,"29,073"
13090,"29,004"
11542,"28,965"
11570,"28,908"
10598,"28,821"
14424,"28,786"
11423,"28,534"
11102,"28,503"
11727,"28,495"
13045,"28,361"
12804,"28,208"
12302,"28,031"
13905,"27,988"
11967,"27,975"
11530,"27,939"
11553,"27,875"
12306,"27,865"
11232,"27,816"
12010,"27,750"
12553,"27,384"
12533,"27,325"
11729,"27,231"
10013,"27,219"
10901,"27,095"
14616,"26,863"
11429,"26,832"
11741,"26,667"
10303,"26,497"
10954,"26,495"
10541,"26,361"
14207,"26,327"
11784,"26,244"
11104,"26,132"
14623,"26,032"
11416,"25,919"
10710,"25,855"
12205,"25,838"
11356,"25,824"
10310,"25,672"
10566,"25,625"
11010,"25,604"
14606,"25,538"
11791,"25,520"
11001,"25,493"
14618,"25,476"
11795,"25,379"
14228,"25,350"
11552,"25,174"
14043,"25,098"
14211,"24,663"
11427,"24,607"
14220,"24,428"
10512,"24,234"
14213,"24,107"
10591,"23,926"
10471,"23,798"
14620,"23,769"
13850,"23,689"
12047,"23,532"
12208,"23,289"
13820,"23,056"
13208,"22,993"
11563,"22,899"
14216,"22,849"
11581,"22,818"
13069,"22,810"
11776,"22,808"
11692,"22,734"
11714,"22,695"
14223,"22,611"
12078,"22,589"
10703,"22,586"
11436,"22,527"
11762,"22,487"
10708,"22,482"
14217,"22,471"
12304,"22,403"
10552,"22,341"
10038,"22,235"
12144,"22,111"
13088,"22,073"
11768,"22,030"
14020,"22,002"
10075,"21,897"
11937,"21,882"
14617,"21,788"
11501,"21,641"
14206,"21,631"
11694,"21,489"
14072,"21,488"
11726,"21,455"
10012,"21,426"
14214,"21,314"
11415,"21,154"
11783,"21,127"
11790,"21,074"
10543,"20,989"
10805,"20,903"
14227,"20,621"
11411,"20,540"
11747,"20,513"
14420,"20,375"
10990,"20,368"
14845,"20,327"
14218,"20,312"
12110,"20,081"
10509,"20,046"
10567,"19,976"
13212,"19,917"
12561,"19,830"
13210,"19,803"
11021,"19,783"
14456,"19,756"
14051,"19,739"
14526,"19,629"
13901,"19,613"
12508,"19,566"
10605,"19,493"
11360,"19,469"
13204,"19,440"
11426,"19,411"
13205,"19,137"
12477,"19,066"
10037,"19,031"
10302,"19,030"
11428,"19,028"
14830,"19,015"
10603,"18,910"
11738,"18,877"
13790,"18,739"
11575,"18,705"
12189,"18,656"
12589,"18,646"
14468,"18,526"
11362,"18,492"
10580,"18,391"
11030,"18,051"
12831,"18,025"
14607,"17,891"
14615,"17,884"
10538,"17,760"
11733,"17,752"
11950,"17,599"
13903,"17,569"
11754,"17,565"
14052,"17,514"
14760,"17,474"
12054,"17,436"
11788,"17,374"
10606,"17,341"
14559,"17,200"
11703,"17,187"
12534,"17,176"
14611,"17,145"
12118,"17,069"
13039,"16,951"
13413,"16,742"
14305,"16,696"
11239,"16,410"
14564,"16,364"
13031,"16,285"
13206,"16,245"
13203,"16,180"
13104,"16,168"
10549,"16,135"
10804,"16,108"
10470,"16,004"
11951,"15,938"
11946,"15,819"
14210,"15,563"
13662,"15,556"
12019,"15,555"
13669,"15,542"
10307,"15,512"
12308,"15,511"
11968,"15,312"
14222,"15,311"
10017,"15,297"
10960,"15,251"
10965,"15,206"
14613,"15,047"
12524,"15,026"
11780,"15,018"
11767,"14,964"
12182,"14,867"
14904,"14,861"
13215,"14,751"
13219,"14,744"
14048,"14,739"
12801,"14,628"
12206,"14,572"
11949,"14,563"
10941,"14,422"
11782,"14,405"
12538,"14,391"
12211,"14,383"
14610,"14,311"
13057,"14,253"
11730,"14,247"
13603,"14,136"
10528,"14,091"
12771,"14,049"
14901,"13,970"
11702,"13,909"
10530,"13,892"
14425,"13,839"
12528,"13,827"
11751,"13,726"
10924,"13,720"
11004,"13,615"
11598,"13,599"
12839,"13,541"
14619,"13,477"
11366,"13,463"
10980,"13,414"
14513,"13,375"
14212,"13,299"
14586,"13,291"
10570,"13,289"
11693,"13,244"
11742,"13,202"
11577,"13,077"
10803,"13,072"
12586,"12,971"
12953,"12,893"
13676,"12,874"
13032,"12,850"
11953,"12,846"
14608,"12,792"
13421,"12,771"
13209,"12,714"
14527,"12,677"
13815,"12,654"
14519,"12,642"
14063,"12,575"
14622,"12,574"
14208,"12,572"
11764,"12,551"
10604,"12,517"
13066,"12,504"
11753,"12,435"
13617,"12,431"
14411,"12,429"
12095,"12,391"
11778,"12,390"
14843,"12,383"
14201,"12,369"
10520,"12,368"
13041,"12,330"
10927,"12,325"
11961,"12,315"
13207,"12,290"
11576,"12,281"
12701,"12,197"
11545,"12,172"
11755,"12,144"
10918,"12,069"
10601,"11,930"
13827,"11,832"
10514,"11,790"
14605,"11,783"
14810,"11,534"
10044,"11,520"
10522,"11,502"
10970,"11,497"
14004,"11,396"
10474,"11,270"
13492,"11,250"
14454,"11,127"
13323,"11,078"
10553,"11,011"
12188,"10,988"
14301,"10,923"
11771,"10,908"
14502,"10,831"
14103,"10,810"
11766,"10,750"
13148,"10,749"
12549,"10,745"
14625,"10,717"
10536,"10,669"
14219,"10,652"
12209,"10,626"
13619,"10,578"
11596,"10,516"
11096,"10,428"
10709,"10,352"
12210,"10,297"
12566,"10,269"
14092,"10,247"
10510,"10,226"
14032,"10,222"
12414,"10,169"
14467,"10,168"
13357,"10,167"
12202,"10,166"
11518,"10,149"
11740,"10,127"
13078,"10,119"
12571,"10,108"
14031,"9,885"
12061,"9,854"
10992,"9,843"
12569,"9,837"
14870,"9,795"
12803,"9,712"
10707,"9,688"
13244,"9,683"
11716,"9,659"
11023,"9,630"
13037,"9,607"
10930,"9,569"
13350,"9,522"
13165,"9,458"
10523,"9,450"
10005,"9,439"
11934,"9,418"
11797,"9,402"
11777,"9,396"
14006,"9,260"
12828,"9,230"
13904,"9,221"
11713,"9,218"
11752,"9,204"
10989,"9,187"
10706,"9,183"
11024,"9,155"
