location,median_income,margin_of_error,zipcode,borough
ZCTA5 10282,250001,-333333333,10282,Manhattan
ZCTA5 10004,250001,-333333333,10004,Manhattan
ZCTA5 10007,250001,-333333333,10007,Manhattan
ZCTA5 10279,250001,-333333333,10279,Manhattan
ZCTA5 11030,234966,29428,11030,Queens
ZCTA5 10069,233636,52737,10069,Manhattan
ZCTA5 10280,206299,72721,10280,Manhattan
ZCTA5 11109,204885,25090,11109,Queens
ZCTA5 10005,190233,34473,10005,Manhattan
ZCTA5 10006,190170,54768,10006,Manhattan
ZCTA5 11215,185865,9246,11215,Brooklyn
ZCTA5 10024,181560,14326,10024,Manhattan
ZCTA5 10014,176395,12595,10014,Manhattan
ZCTA5 11024,175300,47337,11024,Queens
ZCTA5 10028,175121,27619,10028,Manhattan
ZCTA5 11201,173136,8354,11201,Brooklyn
ZCTA5 10022,172026,15809,10022,Manhattan
ZCTA5 11020,167148,24440,11020,Queens
ZCTA5 11217,162863,12941,11217,Brooklyn
ZCTA5 10013,161154,43418,10013,Manhattan
ZCTA5 10023,159874,14788,10023,Manhattan
ZCTA5 10021,158677,22110,10021,Manhattan
ZCTA5 10075,155902,23510,10075,Manhattan
ZCTA5 10065,155331,19458,10065,Manhattan
ZCTA5 11040,154696,9186,11040,Queens
ZCTA5 10003,154262,10754,10003,Manhattan
ZCTA5 11050,154225,7030,11050,Queens
ZCTA5 11001,150000,14141,11001,Queens
ZCTA5 10128,147772,11385,10128,Manhattan
ZCTA5 10307,147184,16727,10307,Staten Island
ZCTA5 10011,145987,8167,10011,Manhattan
ZCTA5 10018,145958,34189,10018,Manhattan
ZCTA5 10010,144969,26449,10010,Manhattan
ZCTA5 11010,142321,19459,11010,Queens
ZCTA5 11023,141003,16376,11023,Queens
ZCTA5 10016,140381,10348,10016,Manhattan
ZCTA5 11231,139930,13219,11231,Brooklyn
ZCTA5 10012,137106,17854,10012,Manhattan
ZCTA5 10017,136705,25264,10017,Manhattan
ZCTA5 11366,135373,13367,11366,Queens
ZCTA5 11238,134523,11270,11238,Brooklyn
ZCTA5 10001,129852,25244,10001,Manhattan
ZCTA5 10019,128559,20899,10019,Manhattan
ZCTA5 10308,125850,12228,10308,Staten Island
ZCTA5 11222,125734,7243,11222,Brooklyn
ZCTA5 11363,125015,29660,11363,Queens
ZCTA5 11003,124115,9636,11003,Queens
ZCTA5 11249,123047,10799,11249,Brooklyn
ZCTA5 11697,122667,27437,11697,Queens
ZCTA5 11362,122090,8471,11362,Queens
ZCTA5 11101,121062,8902,11101,Queens
ZCTA5 11021,120230,16218,11021,Queens
ZCTA5 11413,118440,7699,11413,Queens
ZCTA5 11411,116458,7102,11411,Queens
ZCTA5 10309,116098,22465,10309,Staten Island
ZCTA5 11004,115360,15256,11004,Queens
ZCTA5 11422,114697,8277,11422,Queens
ZCTA5 10162,114139,101432,10162,Manhattan
ZCTA5 11694,111011,12498,11694,Queens
ZCTA5 10312,110719,5237,10312,Staten Island
ZCTA5 10025,108940,8662,10025,Manhattan
ZCTA5 11211,107506,9796,11211,Brooklyn
ZCTA5 10310,106250,12538,10310,Staten Island
ZCTA5 11361,105932,8729,11361,Queens
ZCTA5 11375,105904,5464,11375,Queens
ZCTA5 10038,105419,18564,10038,Manhattan
ZCTA5 10314,104613,8051,10314,Staten Island
ZCTA5 11426,103533,12268,11426,Queens
ZCTA5 10044,103347,16617,10044,Manhattan
ZCTA5 10464,103125,43009,10464,Bronx
ZCTA5 10471,103046,10156,10471,Bronx
ZCTA5 11429,102880,8694,11429,Queens
