location,median_income,zipcode,borough,income_cat
ZCTA5 10282,250001,10282,Manhattan,High
ZCTA5 10004,250001,10004,Manhattan,High
ZCTA5 10007,250001,10007,Manhattan,High
ZCTA5 10279,250001,10279,Manhattan,High
ZCTA5 11030,234966,11030,Queens,High
ZCTA5 10069,233636,10069,Manhattan,High
ZCTA5 10280,206299,10280,Manhattan,High
ZCTA5 11109,204885,11109,Queens,High
ZCTA5 10005,190233,10005,Manhattan,High
ZCTA5 10006,190170,10006,Manhattan,High
ZCTA5 11215,185865,11215,Brooklyn,High
ZCTA5 10024,181560,10024,Manhattan,High
ZCTA5 10014,176395,10014,Manhattan,High
ZCTA5 11024,175300,11024,Queens,High
ZCTA5 10028,175121,10028,Manhattan,High
ZCTA5 11201,173136,11201,Brooklyn,High
ZCTA5 10022,172026,10022,Manhattan,High
ZCTA5 11020,167148,11020,Queens,High
ZCTA5 11217,162863,11217,Brooklyn,High
ZCTA5 10013,161154,10013,Manhattan,High
ZCTA5 10023,159874,10023,Manhattan,High
ZCTA5 10021,158677,10021,Manhattan,High
ZCTA5 10075,155902,10075,Manhattan,High
ZCTA5 10065,155331,10065,Manhattan,High
ZCTA5 11040,154696,11040,Queens,High
ZCTA5 10003,154262,10003,Manhattan,High
ZCTA5 11050,154225,11050,Queens,High
ZCTA5 11001,150000,11001,Queens,High
ZCTA5 10128,147772,10128,Manhattan,High
ZCTA5 10307,147184,10307,Staten Island,High
ZCTA5 10011,145987,10011,Manhattan,High
ZCTA5 10018,145958,10018,Manhattan,High
ZCTA5 10010,144969,10010,Manhattan,High
ZCTA5 11010,142321,11010,Queens,High
ZCTA5 11023,141003,11023,Queens,High
ZCTA5 10016,140381,10016,Manhattan,High
ZCTA5 11231,139930,11231,Brooklyn,High
ZCTA5 10012,137106,10012,Manhattan,High
ZCTA5 10017,136705,10017,Manhattan,High
ZCTA5 11366,135373,11366,Queens,High
ZCTA5 11238,134523,11238,Brooklyn,High
ZCTA5 10001,129852,10001,Manhattan,High
ZCTA5 10019,128559,10019,Manhattan,High
ZCTA5 10308,125850,10308,Staten Island,High
ZCTA5 11222,125734,11222,Brooklyn,High
ZCTA5 11363,125015,11363,Queens,High
ZCTA5 11003,124115,11003,Queens,High
ZCTA5 11249,123047,11249,Brooklyn,High
ZCTA5 11697,122667,11697,Queens,High
ZCTA5 11362,122090,11362,Queens,High
ZCTA5 11101,121062,11101,Queens,High
ZCTA5 11021,120230,11021,Queens,High
ZCTA5 11413,118440,11413,Queens,High
